Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:26:32	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:26:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:26:42	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:26:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:26:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:26:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:27:2	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:7	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:27:12	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:27:17	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:27:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:27	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:27:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:42	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:47	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:27:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:27:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:28:2	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:28:7	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:28:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:28:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:28:22	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:28:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:28:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:28:37	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:28:42	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:28:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:28:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:28:57	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:29:2	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:29:12	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:29:17	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:29:22	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:29:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:29:37	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:29:57	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:30:3	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:30:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:30:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:30:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:30:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:30:28	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:30:33	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:30:38	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:30:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:30:48	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:30:53	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:30:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:3	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:31:8	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:31:13	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:31:18	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:23	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:31:28	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:31:33	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:38	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:48	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:31:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:31:58	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:32:3	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:32:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:32:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:32:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:32:23	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:32:28	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:32:33	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:32:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:32:43	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:32:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:32:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:32:58	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:33:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:33:8	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:33:13	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:33:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:33:23	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:33:28	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:33:33	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:33:38	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:33:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:33:48	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:33:53	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:33:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:34:3	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:34:8	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:34:13	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:34:18	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:34:23	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:34:28	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:34:33	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:34:38	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:34:43	0.00	0.00	1.05	1.95	-0.90	0
