Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 22:30:11	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:30:16	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:30:21	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:30:26	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:30:31	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:30:36	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:30:41	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:30:46	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:30:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:30:56	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:31:1	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:31:6	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:31:11	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:31:16	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:31:21	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:31:26	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:31:31	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:31:36	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:31:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:31:46	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:31:51	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:31:56	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:32:1	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:32:6	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:32:11	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:32:16	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:32:21	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:32:26	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:32:31	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 22:32:36	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:32:41	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 22:32:46	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:32:51	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:32:56	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:33:1	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:33:6	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:33:11	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:33:16	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:33:21	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:33:26	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:33:31	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:33:36	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:33:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:33:46	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:33:51	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:33:56	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:34:1	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:34:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:34:11	0.00	0.00	1.05	7.99	-6.94	0
2017-4-17 22:34:16	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:34:21	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 22:34:26	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:34:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:34:36	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:34:41	0.00	0.00	1.05	7.94	-6.89	0
2017-4-17 22:34:46	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:34:51	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:34:56	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:35:1	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:35:6	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:35:11	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:35:16	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:35:21	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:35:26	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:35:31	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:35:36	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:35:41	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:35:46	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:35:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:35:56	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:36:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:36:6	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:36:11	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:36:16	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:36:21	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:36:26	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:36:31	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:36:36	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:36:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:36:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:36:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:36:56	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:37:1	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:37:6	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:37:11	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:37:16	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:37:21	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:37:26	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:37:31	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:37:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:37:41	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:37:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:37:51	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:37:56	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:38:1	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:38:6	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:38:11	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:38:16	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:38:21	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:38:26	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:38:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:38:36	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:38:41	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:38:46	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:38:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:38:56	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:39:1	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:39:6	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:39:11	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:39:16	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:39:21	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:39:26	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:39:31	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:39:36	0.00	0.00	1.05	8.07	-7.02	0
