Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 10:44:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:44:27	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:44:32	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:44:37	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:44:42	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:44:47	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:44:52	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:44:57	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:2	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:45:7	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:45:12	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:17	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:22	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:28	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:45:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:38	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:43	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:45:48	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:45:58	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:46:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:46:8	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:13	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:18	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:23	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:28	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:46:38	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:46:48	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:46:53	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:46:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:3	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:47:8	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:47:13	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:47:18	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:23	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:28	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:47:33	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:38	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:43	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:47:48	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:47:53	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:47:58	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:48:3	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:48:8	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:48:13	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:48:18	0,00	0,00	1,05	1,91	-0,86	0
